name,gender
Bijay,male
Dilip,male
Eshaan,male
Fardeen,male
Hemant,male
Ishwar,male
Jashan,male
Kartikeya,male
Mayur,male
Niranjan,male
Omprakash,male
Pritam,male
Ranjit,male
Sujay,male
Utsav,male
Abhay,male
Charan,male
Faiz,male
Gaurang,male
Harmeet,male
Imtiyaz,male
Jayesh,male
Krish,male
Lakshman,male
Mihir,male
Nikunj,male
Prajwal,male
Shailesh,male
Vishesh,male
Yatin,male
Aanya,female
Aditi,female
Ananya,female
Anika,female
Anjali,female
Sneha,female
Priya,female
Sonal,female
Neha,female
Pooja,female
Shreya,female
Riya,female
Isha,female
Shruti,female
Shikha,female
Divya,female
Meera,female
Kavya,female
Nikita,female
Aishwarya,female
Sakshi,female
Natasha,female
Prerna,female
Radhika,female
Tanvi,female
Vidya,female
Preeti,female
Madhuri,female
Anushka,female
Bhavna,female
Deepika,female
Esha,female
Farah,female
Geeta,female
Hina,female
Ira,female
Janhvi,female
Kiran,female
Laxmi,female
Manisha,female
Nisha,female
Ojasvi,female
Parul,female
Rashmi,female
Sangeeta,female
Tanya,female
Usha,female
Vaishali,female
Yogita,female
Zara,female
Akanksha,female
Bhumika,female
Charu,female
Deeksha,female
Eshani,female
Falguni,female
Gauri,female
Himani,female
Ila,female
Jaya,female
Kavita,female
Leena,female
Monika,female
Nandini,female
Pallavi,female
Ritika,female
Sana,female
Trisha,female
Urmi,female
Vandana,female
Yamini,female
Zeenat,female
Aarohi,female
Bela,female
Chetna,female
Diksha,female
Eesha,female
Fiza,female
Gitanjali,female
Hiral,female
Ipsita,female
Juhi,female
Kajal,female
Latika,female
Mansi,female
Neelam,female
Ojaswini,female
Poonam,female
Rhea,female
Shivani,female
Tara,female
Urvashi,female
Vani,female
Zoya,female
Asha,female
Bina,female
Chandni,female
Damini,female
Ekta,female
Fariha,female
Ganga,female
Hardika,female
Jagruti,female
Lalita,female
Megha,female
Nimita,female
Palak,female
Rachna,female
Sanya,female
Trupti,female
Veda,female
Aanchal,female
Bharti,female
Chaitali,female
Diya,female
Femida,female
Gayatri,female
Hansa,female
Indira,female
Lina,female
Mitali,female
Nitika,female
Pavitra,female
Rupali,female
Simran,female
Tina,female
Ujjwala,female
Vijaya,female
Aastha,female
Bhavya,female
Chhavi,female
Damayanti,female
Ekisha,female
Fatima,female
Gayathri,female
Hema,female
Ishita,female
Kshama,female
Madhavi,female
Naina,female
Priti,female
Shanti,female
Tania,female
Vaidehi,female
Yashaswini,female
Akira,female
Disha,female
Farzana,female
Gul,female
Harini,female
Indu,female
Janvi,female
Kanta,female
Lekha,female
Minal,female
Nupur,female
Pranita,female
Ruchi,female
Seema,female
Tushti,female
Vasudha,female
Yukti,female
Bhawna,female
Deepti,female
Ipsa,female
Jhanvi,female
Kriti,female
Madhumita,female
Neerja,female
Parineeta,female
Saloni,female
Tanisha,female
Urmila,female
Vijayalakshmi,female
Bhavani,female
Charulata,female
Eshaa,female
Hasina,female
Kalyani,female
Lavanya,female
Nandita,female
Rashika,female
Sai,female
Shraddha,female
Uma,female
Vasanti,female
Anita,female
Chandrika,female
Deepa,female
Firoza,female
Gargi,female
Ishani,female
Kirti,female
Lata,female
Meenakshi,female
Nalini,female
Pavani,female
Trishna,female
Ujala,female
Anisha,female
Devika,female
Gita,female
Heena,female
Kavitha,female
Madhu,female
Priyanka,female
Shalini,female
Vandita,female
